state,city,population_2015
Florida,Palatka,10387
Florida,Sebring,10372
Florida,Minneola,10351
Florida,North Andrews Gardens,10337
Florida,Fairview Shores,10239
Florida,Goulds,10103
Florida,Port Salerno,10091
Florida,Cape Canaveral,10049
Florida,New Port Richey East,10036
Florida,Paxton-Darlington,9989
Florida,Lake Lucerne,9919
Florida,Lakes by the Bay,9835
Florida,Union Park,9765
Florida,Parrish,9754
Florida,Bardmoor,9732
Florida,Westview,9650
Florida,Pierson-Seville,9624
Florida,Pine Ridge,9598
Florida,Bee Ridge,9598
Florida,Gifford,9590
Florida,Alachua,9561
Florida,St. Pete Beach,9496
Florida,West Perrine,9460
Florida,Milton,9445
Florida,Springfield,9355
Florida,Marianna,9249
Florida,Andover,9221
Florida,Westgate-Belvedere Homes,9060
Florida,Hernando,9054
Florida,Micco,9052
Florida,Cypress Gardens,8917
Florida,Medulla,8892
Florida,Avon Park,8879
Florida,Rotonda,8759
Florida,Fuller Heights,8758
Florida,Marathon,8708
Florida,Asbury Lake,8700
Florida,Sanibel Island,8676
Florida,Southport,8623
Florida,Citrus Springs,8622
Florida,Orange Park,8606
Florida,Richmond Heights,8541
Florida,North Weeki Wachee,8524
Florida,Palm Beach,8503
Florida,Century Village,8483
Florida,Lake Park,8448
Florida,Beverly Hills,8445
Florida,Gateway,8401
Florida,Lake Butter,8339
Florida,Indian Harbour Beach,8334
Florida,Naranja,8303
Florida,Sugarmill Woods,8287
Florida,Collier Manor-Cresthaven,8287
Florida,Bithlo,8268
Florida,Laurel,8171
Florida,North Okeechobee,8151
Florida,Westgate,7975
Florida,Quincy,7914
Florida,North Bay Village,7871
Florida,Memphis,7848
Florida,McAlpin-Wellborn,7833
Florida,Brooksville,7778
Florida,Southwest Ranches,7761
Florida,Arcadia,7722
Florida,Fern Park,7704
Florida,Youngstown,7696
Florida,East Perrine,7689
Florida,Williamsburg,7646
Florida,Pebble Creek,7622
Florida,Melrose Park,7616
Florida,Dowling Park,7604
Florida,Seffner,7579
Florida,Pasadena Hills,7570
Florida,Southwest Glades,7529
Florida,Citrus Hills,7470
Florida,Golden Lakes,7456
Florida,Celebration,7427
Florida,Ormond-By-The-Sea,7406
Florida,McGregor,7406
Florida,Clewiston,7376
Florida,St. Augustine Shores,7359
Florida,South and East Osceola,7340
Florida,Melbourne Shores-Floridana Beach,7307
Florida,Odessa,7267
Florida,Beacon Square,7224
Florida,Wildwood,7181
Florida,Neptune Beach,7180
Florida,Southgate,7173
Florida,Inverness,7162
Florida,Longboat Key,7143
Florida,West Vero Corridor,7138
Florida,Baker,7134
Florida,Broadview Park,7125
Florida,Green Cove Springs,7109
Florida,Venice Gardens,7104
Florida,West St. Lucie,7070
Florida,Mims,7058
Florida,Sanibel,7056
Florida,Perry,7031
Florida,Lake Lorraine,7010
Florida,West Wakulla,6983
Florida,North Sarasota,6982
Florida,Live Oak,6969
Florida,Port St. Lucie-River Park,6968
Florida,Pompano Beach Highlands,6964
Florida,Boyette,6874
Florida,Fort Myers Beach,6811
Florida,Treasure Island,6810
Florida,Opa-locka North,6760
Florida,Dade City,6750
Florida,Willow Oak,6732
Florida,St. Augustine Beach,6706
Florida,Wedgefield,6705
Florida,Viera West,6641
Florida,Siesta Key,6565
Florida,Southeast Arcadia,6554
Florida,Inverness Highlands South,6542
Florida,Silver Springs Shores,6539
Florida,Belle Isle,6528
Florida,Fort Pierce North,6474
Florida,Islamorada,6428
Florida,Macclenny,6417
Florida,Inwood,6403
Florida,Lauderdale-by-the-Sea,6388
Florida,Wimauma,6373
Florida,Pelican Bay,6346
Florida,Kathleen,6332
Florida,West Miami,6326
Florida,Pembroke Park,6287
Florida,Indian River Estates,6220
Florida,Gulf Breeze,6195
Florida,Sky Lake,6153
Florida,Miramar Beach,6146
Florida,Orlovista,6123
Florida,Osprey,6100
Florida,Indiantown,6083
Florida,Pahokee,6029
Florida,Bay Harbor Islands,6007
Georgia,Atlanta,456002
Georgia,Augusta-Richmond County,196741
Georgia,Columbus,185888
Georgia,Northeast Cobb,169756
Georgia,Savannah,144352
Georgia,Augusta,136381
Georgia,Athens-Clarke County,119648
Georgia,Sandy Springs,101908
Georgia,Roswell,94089
Georgia,Macon,89981
Georgia,Athens,85116
Georgia,Johns Creek,83102
Georgia,Albany,75769
Georgia,Warner Robins,73271
Georgia,Alpharetta,63038
Georgia,Marietta,60014
Georgia,West Dougherty,59317
Georgia,Valdosta,56595
Georgia,Smyrna,54958
Georgia,Dacula-Rocky Creek,51522
Georgia,Dunwoody,48000
Georgia,Big Creek,42663
Georgia,Bill Arp,40565
Georgia,North Atlanta,40456
Georgia,Mableton,37115
Georgia,Milton,36662
Georgia,Gainesville,36306
Georgia,Newnan,36203
Georgia,East Dougherty,36163
Georgia,Rome,35997
Georgia,Martinez,35795
Georgia,East Point,35488
Georgia,Peachtree City,35063
Georgia,Hinesville,34815
Georgia,Gracewood,34147
Georgia,Dalton,33529
Georgia,Redan,33015
Georgia,Douglasville,32523
Georgia,Kennesaw,32400
Georgia,LaGrange,30557
Georgia,Pooler-Burroughs,30395
Georgia,Statesboro,30367
Georgia,Lawrenceville,30212
Georgia,Evans,29011
Georgia,Duluth,28838
Georgia,Woodstock,27823
Georgia,Tybee Island-Wilmington,27669
Georgia,Stockbridge,27619
Georgia,Tucker,27581
Georgia,Carrollton,26690
Georgia,South Rockdale,26083
Georgia,Canton,24801
Georgia,Gray-Griswold,23626
Georgia,Griffin,23329
Georgia,Candler-McAfee,23025
Georgia,McDonough,23004
Georgia,Pooler,22251
Georgia,Huntsville,22178
Georgia,Acworth,21867
Georgia,Sugar Hill,20821
Georgia,Union City,20427
Georgia,Decatur,20380
Georgia,Cartersville,20015
Georgia,Snellville,19439
Georgia,Milledgeville,19211
Georgia,Forest Park,18949
Georgia,North Druid Hills,18947
Georgia,Thomasville,18700
Georgia,Suwanee,18164
Georgia,Lizella,18098
Georgia,St. Marys,17949
Georgia,Everett,16769
Georgia,Fayetteville,16725
Georgia,Tifton,16701
Georgia,North Decatur,16698
Georgia,Kingsland,16416
Georgia,Norcross,16349
Georgia,Americus,16283
Georgia,Murrayville,16222
Georgia,Dublin,16182
Georgia,Chamblee,16112
Georgia,Calhoun,16052
Georgia,Brunswick,15903
Georgia,Conyers,15718
Georgia,Riverdale,15669
Georgia,Lithia Springs,15491
Georgia,Westside,15369
Georgia,Chestatee,15214
Georgia,Belvedere Park,15152
Georgia,Perry,15144
Georgia,Wilmington Island,15138
Georgia,Silver City,15128
Georgia,Juno,15063
Georgia,Winder,14930
Georgia,Villa Rica,14700
Georgia,Barretts,14663
Georgia,College Park,14598
Georgia,Powder Springs,14590
Georgia,Druid Hills,14568
Georgia,Moultrie,14507
Georgia,Waycross,14166
Georgia,West Jackson,14142
Georgia,Fairburn,13696
Georgia,Covington,13667
Georgia,Monroe,13664
Georgia,Buford,13392
Georgia,Boynton Ridge,13326
Georgia,Lathemtown,13132
Georgia,Grovetown,12746
Georgia,St. Simons,12743
Georgia,Dallas,12629
Georgia,Lilburn,12543
Georgia,Three Sisters Mountains,12508
Georgia,Bainbridge,12496
Georgia,Georgetown,11823
Georgia,Douglas,11665
Georgia,Nelson-Tate-Marble Hill,11268
Georgia,Richmond Hill,11229
Georgia,Fort Benning,11177
Georgia,Loganville,11022
Georgia,Cordele,10939
Georgia,Fort Benning South,10887
Georgia,Rossville-Beverly Hills,10861
Georgia,Doraville,10714
Georgia,Vidalia,10670
Georgia,Scottdale,10631
Georgia,Yorkville,10575
Georgia,North Whitfield,10574
Georgia,White-Pine Log,10476
Georgia,Rutland,10309
Georgia,Jesup,10285
Georgia,Holly Springs,10237
Georgia,Jefferson,9867
Georgia,Armuchee,9817
Georgia,Cairo,9806
Georgia,Culloden-Bolingbroke,9796
Georgia,Panthersville,9749
Georgia,Vinings,9734
Georgia,Cedartown,9723
Georgia,Rincon,9638
Georgia,Fort Oglethorpe,9590
Georgia,Crandall-Eton,9407
Georgia,North Rockdale,9090
Georgia,Fitzgerald,9039
Georgia,Garden City,8994
Georgia,Thomaston,8952
Georgia,Fort Valley,8952
Georgia,Zenith,8944
Georgia,Braselton,8727
Georgia,Philema,8620
Georgia,Country Club Estates,8545
Georgia,Skidaway Island,8341
Georgia,Valley,8306
Georgia,Toccoa,8257
Georgia,Fair Oaks,8225
Georgia,Appling,8141
Georgia,Clarkston,7846
Georgia,Sugar Valley-Resaca,7747
Georgia,Dock Junction,7721
Georgia,Carters Lake,7684
Georgia,Fort Gordon,7663
Georgia,Winston,7625
Georgia,Centerville,7584
Georgia,Catoosa Springs,7509
Georgia,Swainsboro,7472
Georgia,Irondale,7446
Georgia,Gresham Park,7432
Georgia,Fairplay,7348
Georgia,Hampton,7305
Georgia,Auburn,7254
Georgia,Nevils-Stilson,7249
Georgia,La Fayette,7169
Georgia,Morrow,7167
Georgia,Yellow River,7152
Georgia,Tyrone,7135
Georgia,Mossy Creek,7112
Georgia,Port Wentworth,7080
Georgia,Coopers,6995
Georgia,Austell,6985
Georgia,Campton,6920
Georgia,Thalmann,6792
Georgia,Whitemarsh Island,6792
Georgia,Ivylog,6791
Georgia,Fairview,6769
Georgia,Washington-Metasville,6762
Georgia,Waresboro,6724
Georgia,Barnesville,6670
Georgia,Hapeville,6669
Georgia,Thomson,6618
Georgia,Commerce,6580
Georgia,North Ogeechee,6547
Georgia,Eatonton,6466
Georgia,Lovejoy,6406
Georgia,Flowery Branch,6385
Georgia,Dahlonega,6337
Georgia,Bremen,6290
Georgia,Red Bud,6266
Georgia,Conley,6228
Georgia,Phoenix,6227
Georgia,Casey Springs,6188
Georgia,Sylvester,6097
Georgia,Stone Mountain,6025
Hawaii,Honolulu,374701
Hawaii,Urban Honolulu,350399
Hawaii,Ewa,279683
Hawaii,Koolaupoko,121180
Hawaii,East Honolulu,49914
Hawaii,Pearl City,47698
Hawaii,Hilo,43263
Hawaii,Waipahu,38216
Hawaii,Kaneohe,34597
Hawaii,North Kona,33155
Hawaii,Mililani Town,27629
Hawaii,Kahului,26337
Hawaii,Ewa Gentry,22690
Hawaii,Mililani Mauka,21039
Hawaii,Kihei,20881
Hawaii,Koolauloa,19409
Hawaii,Makakilo,18248
Hawaii,Wahiawa,17821
Hawaii,Schofield Barracks,16370
Hawaii,Wailuku,15313
Hawaii,South Kohala,15253
Hawaii,Kapolei,15186
Hawaii,Ewa Beach,14955
Hawaii,Royal Kunia,14525
Hawaii,Halawa,14014
Hawaii,Waimalu,13730
Hawaii,Makakilo City,13511
Hawaii,Waianae,13177
Hawaii,Nanakuli,12666
Hawaii,Kailua,11975
Hawaii,Lahaina,11704
Hawaii,Waipio,11674
Hawaii,Hawaiian Paradise Park,11404
Hawaii,Kula,10724
Hawaii,Kapaa,10699
Hawaii,Pahoa-Kalapana,9986
Hawaii,South Kona,9977
Hawaii,Village Park,9884
Hawaii,Kalaoa,9644
Hawaii,Kaneohe Station,9517
Hawaii,Maili,9488
Hawaii,Aiea,9338
Hawaii,Waimea,9212
Hawaii,Waihee-Waiehu,8841
Hawaii,Ahuimanu,8810
Hawaii,Holualoa,8538
Hawaii,Ocean Pointe,8361
Hawaii,Makaha,8278
Hawaii,Haiku-Pauwela,8118
Hawaii,Pukalani,7574
Hawaii,Waikele,7479
Hawaii,Napili-Honokowai,7261
Hawaii,Makawao,7184
Hawaii,North Kohala,7013
Hawaii,Hickam Housing,6920
Hawaii,Kau,6768
Hawaii,Lihue,6455
Hawaii,Waikoloa Village,6362
Hawaii,Wailea-Makena,6251
Hawaii,Laie,6138
Hawaii,Ewa Villages,6108
Idaho,Boise,216282
Idaho,Nampa,88211
Idaho,Meridian,87743
Idaho,Idaho Falls,58691
Idaho,Pocatello,54292
Idaho,Caldwell,50224
Idaho,Coeur d'Alene,47912
Idaho,Twin Falls,46528
Idaho,Lewiston,32482
Idaho,Post Falls,29896
Idaho,Rexburg,27094
Idaho,Moscow,24767
Idaho,Thornton,24416
Idaho,Eagle,22502
Idaho,Orchard,18120
Idaho,Kuna,16999
Idaho,Ammon,14685
Idaho,Chubbuck,14229
Idaho,Blanchard-Glengary,13946
Idaho,Hayden,13870
Idaho,Mountain Home,13780
Idaho,Emmett Valley,12022
Idaho,Blackfoot,11814
Idaho,Garden City,11420
Idaho,Jerome,11189
Idaho,Burley,10480
Idaho,Moreland,9573
Idaho,Hailey,8076
Idaho,Sandpoint,7760
Idaho,Payette,7422
Idaho,Star,7295
Idaho,Rathdrum,7283
Idaho,Emmett,6599
Idaho,Middleton,6420
Illinois,Chicago,2722389
Illinois,Aurora,200456
Illinois,Rockford,149123
Illinois,Joliet,147928
Illinois,Naperville,146128
Illinois,Springfield,116809
Illinois,Peoria,115828
Illinois,Elgin,111117
Illinois,Waukegan,88915
Illinois,Champaign,84513
Illinois,Cicero,84354
Illinois,Bloomington,78730
Illinois,Arlington Heights,76024
Illinois,Evanston,75658
Illinois,Schaumburg,74896
Illinois,Bolingbrook,74180
Illinois,Decatur,74010
Illinois,Palatine,69387
Illinois,Skokie,65112
Illinois,Des Plaines,58947
Illinois,Orland Park,58666
Illinois,Tinley Park,57280
Illinois,Oak Lawn,57034
Illinois,Berwyn,56693
Illinois,Mount Prospect,54951
Illinois,Normal,54594
Illinois,Wheaton,53644
Illinois,Hoffman Estates,52347
Illinois,Oak Park,52008
Illinois,Downers Grove,49715
Illinois,Glenview,46767
Illinois,Elmhurst,45751
Illinois,DeKalb,44054
Illinois,Lombard,43893
Illinois,Moline,42685
Illinois,Belleville,42529
Illinois,Plainfield,42138
Illinois,Urbana,42044
Illinois,Buffalo Grove,41701
Illinois,Bartlett,41632
Illinois,Quincy,40805
Illinois,Crystal Lake,40493
Illinois,Carol Stream,40349
Illinois,Streamwood,40345
Illinois,Romeoville,39679
Illinois,Rock Island,38642
Illinois,Hanover Park,38476
Illinois,Carpentersville,38407
Illinois,Wheeling,38010
Illinois,Park Ridge,37856
Illinois,Addison,37297
Illinois,Calumet City,37213
Illinois,Glendale Heights,34530
Illinois,Pekin,33824
Illinois,Northbrook,33655
Illinois,St. Charles,33387
Illinois,Elk Grove Village,33379
Illinois,Woodridge,33378
Illinois,Oswego,33099
Illinois,Danville,32243
Illinois,Galesburg,31659
Illinois,Mundelein,31562
Illinois,Gurnee,31207
Illinois,Chicago Heights,30436
Illinois,Algonquin,30410
Illinois,North Chicago,30395
Illinois,Niles,30000
Illinois,Highland Park,29871
Illinois,Burbank,29218
Illinois,Granite City,29183
Illinois,O'Fallon,29069
Illinois,Lake in the Hills,28893
Illinois,Lansing,28522
Illinois,Oak Forest,28174
Illinois,Round Lake Beach,28012
Illinois,Glen Ellyn,27763
Illinois,West Chicago,27507
Illinois,Wilmette,27446
Illinois,Alton,27177
Illinois,Kankakee,26860
Illinois,East St. Louis,26672
Illinois,McHenry,26630
Illinois,Batavia,26424
Illinois,Carbondale,26324
Illinois,Vernon Hills,25911
Illinois,Huntley,25603
Illinois,Melrose Park,25511
Illinois,New Lenox,25426
Illinois,Harvey,25347
Illinois,Belvidere,25282
Illinois,Woodstock,25178
Illinois,Lockport,25119
Illinois,Westmont,24963
Illinois,Elmwood Park,24954
Illinois,Collinsville,24883
Illinois,Freeport,24851
Illinois,Edwardsville,24758
Illinois,Homer Glen,24364
Illinois,Rolling Meadows,24279
Illinois,Zion,24264
Illinois,Maywood,24133
Illinois,Blue Island,23785
Illinois,Loves Park,23551
Illinois,Morton Grove,23497
Illinois,East Peoria,23375
Illinois,Dolton,23307
Illinois,Machesney Park,23036
Illinois,Roselle,23030
Illinois,Lisle,22827
Illinois,Goodings Grove,22530
Illinois,Darien,22315
Illinois,Bloomingdale,22299
Illinois,South Elgin,22226
Illinois,South Holland,22144
Illinois,Villa Park,22038
Illinois,Park Forest,22034
Illinois,Charleston,21838
Illinois,Geneva,21742
Illinois,East Moline,21175
Illinois,Grayslake,21018
Illinois,Crest Hill,20771
Illinois,Libertyville,20512
Illinois,Lake Zurich,20054
Illinois,Evergreen Park,19935
Illinois,Homewood,19464
Illinois,Mokena,19447
Illinois,Alsip,19427
Illinois,Lake Forest,19379
Illinois,Montgomery,19301
Illinois,Jacksonville,19159
Illinois,Matteson,19156
Illinois,Bellwood,19152
Illinois,Brookfield,19023
Illinois,Macomb,18943
Illinois,Round Lake,18536
Illinois,Bourbonnais,18534
Illinois,Bensenville,18487
Illinois,Frankfort,18446
Illinois,Ottawa,18428
Illinois,Franklin Park,18404
Illinois,Deerfield,18385
Illinois,Mattoon,18211
Illinois,Yorkville,18096
Illinois,Cary,17991
Illinois,Godfrey,17782
Illinois,Sycamore,17753
Illinois,Palos Hills,17627
Illinois,Hinsdale,17446
Illinois,Marion,17438
Illinois,North Aurora,17342
Illinois,Fairview Heights,16901
Illinois,Country Club Hills,16865
Illinois,Westchester,16807
Illinois,Lemont,16661
Illinois,Shorewood,16569
Illinois,Morton,16499
Illinois,Bridgeview,16491
Illinois,Prospect Heights,16418
Illinois,Washington,15816
Illinois,La Grange,15759
Illinois,Bradley,15677
Illinois,Dixon,15285
Illinois,Mount Vernon,15177
Illinois,Sterling,15011
Illinois,Midlothian,14911
Illinois,Norridge,14674
Illinois,Cahokia,14588
Illinois,Lindenhurst,14468
Illinois,Chicago Ridge,14434
Illinois,Antioch,14411
Illinois,Canton,14307
Illinois,Forest Park,14196
Illinois,Hazel Crest,14182
Illinois,Hickory Hills,14177
Illinois,Lincoln,14162
Illinois,Morris,14135
Illinois,Beach Park,13988
Illinois,Wood Dale,13945
Illinois,Wauconda,13896
Illinois,Richton Park,13751
Illinois,La Grange Park,13665
Illinois,Swansea,13651
Illinois,Riverdale,13604
Illinois,Warrenville,13336
Illinois,Streator,13289
Illinois,Western Springs,13284
Illinois,Rantoul,13100
Illinois,Justice,13022
Illinois,Glen Carbon,12947
Illinois,Shiloh,12907
Illinois,Herrin,12852
Illinois,Centralia,12742
Illinois,Markham,12688
Illinois,Lincolnwood,12687
Illinois,Channahon,12616
Illinois,Palos Heights,12597
Illinois,Kewanee,12596
Illinois,Effingham,12577
Illinois,Winnetka,12490
Illinois,Northlake,12372
Illinois,Chatham,12212
Illinois,Schiller Park,11857
Illinois,Pontiac,11599
Illinois,Summit,11447
Illinois,Campton Hills,11317
Illinois,River Forest,11208
Illinois,Minooka,11194
Illinois,Plano,11175
Illinois,Crestwood,11029
Illinois,Taylorville,10971
Illinois,Worth,10838
Illinois,Lyons,10773
Illinois,Burr Ridge,10761
Illinois,Roscoe,10603
Illinois,Fox Lake,10578
Illinois,Sauk Village,10545
Illinois,Barrington,10373
Illinois,Wood River,10355
Illinois,River Grove,10271
Illinois,Gages Lake,10198
Illinois,Waterloo,10178
Illinois,Columbia,10121
Illinois,Peru,10016
Illinois,Troy,9996
Illinois,Highland,9894
Illinois,Winfield,9569
Illinois,Steger,9557
Illinois,Monmouth,9527
Illinois,Flossmoor,9522
Illinois,Rochelle,9390
Illinois,Bethalto,9382
Illinois,La Salle,9328
Illinois,Lynwood,9313
Illinois,Frankfort Square,9276
Illinois,Harvard,9230
Illinois,Sugar Grove,9192
Illinois,Rock Falls,9062
Illinois,Glenwood,9036
Illinois,Olney,9026
Illinois,Manteno,9026
Illinois,Wonder Lake,8967
Illinois,Glencoe,8923
Illinois,Harrisburg,8914
Illinois,Riverside,8881
Illinois,Lake Villa,8825
Illinois,Itasca,8800
Illinois,Harwood Heights,8675
Illinois,Clarendon Hills,8658
Illinois,Willowbrook,8631
Illinois,Jerseyville,8532
Illinois,Paris,8498
Illinois,Chester,8421
Illinois,Crete,8227
Illinois,Hillside,8195
Illinois,Long Grove,8181
Illinois,Boulder Hill,8108
Illinois,Oak Brook,8065
Illinois,West Frankfort,8056
Illinois,Island Lake,8031
Illinois,Broadview,7959
Illinois,Mahomet,7955
Illinois,Calumet Park,7903
Illinois,Savoy,7879
Illinois,Hawthorn Woods,7875
Illinois,Mascoutah,7869
Illinois,Maryville,7826
Illinois,Murphysboro,7811
Illinois,South Beloit,7719
Illinois,Robinson,7622
Illinois,Inverness,7592
Illinois,Gilberts,7556
Illinois,Rockton,7554
Illinois,Silvis,7526
Illinois,Marengo,7508
Illinois,Park City,7440
Illinois,Princeton,7415
Illinois,Sandwich,7410
Illinois,West Dundee,7391
Illinois,Round Lake Park,7371
Illinois,Salem,7334
Illinois,Manhattan,7302
Illinois,Lincolnshire,7292
Illinois,Orland Hills,7277
Illinois,Mendota,7254
Illinois,University Park,7095
Illinois,Clinton,7078
Illinois,Mount Carmel,7034
Illinois,Benton,7016
Illinois,Vandalia,6984
Illinois,Litchfield,6930
Illinois,Greenville,6885
Illinois,Stickney,6818
Illinois,Winthrop Harbor,6730
Illinois,North Riverside,6698
Illinois,Geneseo,6537
Illinois,Bartonville,6423
Illinois,Metropolis,6390
Illinois,Johnsburg,6297
Illinois,East Alton,6215
Illinois,Braidwood,6185
Illinois,Chillicothe,6135
Illinois,Hillsboro,6089
Illinois,Countryside,6023
Illinois,Posen,6021
Illinois,Peoria Heights,6020
Illinois,Lakemoor,6005
Indiana,Indianapolis,848788
Indiana,Fort Wayne,258522
Indiana,Evansville,120346
Indiana,South Bend,101190
Indiana,Carmel,86682
Indiana,Fishers,86325
Indiana,Bloomington,83322
Indiana,Hammond,78384
Indiana,Gary,77909
Indiana,Lafayette,70654
Indiana,Muncie,70211
Indiana,Terre Haute,60956
Indiana,Noblesville,57584
Indiana,Kokomo,57085
Indiana,Anderson,55455
Indiana,Greenwood,54491
Indiana,Elkhart,51421
Indiana,Mishawaka,48174
Indiana,Lawrence,47550
Indiana,Jeffersonville,46440
Indiana,Columbus,46124
Indiana,Portage,36760
Indiana,New Albany,36589
Indiana,Richmond,36159
Indiana,Merrillville,35450
Indiana,Westfield,35297
Indiana,Valparaiso,32369
Indiana,Goshen,32267
Indiana,West Lafayette,32109
Indiana,Michigan City,31487
Indiana,Granger,30465
Indiana,Plainfield,30409
Indiana,Marion,29308
Indiana,East Chicago,28990
Indiana,Schererville,28926
Indiana,Hobart,28635
Indiana,Crown Point,28623
Indiana,Zionsville,25734
Indiana,Franklin,24356
Indiana,Brownsburg,23322
Indiana,Highland,23127
Indiana,Munster,23103
Indiana,La Porte,22007
Indiana,Clarksville,21879
Indiana,Greenfield,21398
Indiana,Shelbyville,19163
Indiana,Seymour,19094
Indiana,Vincennes,18032
Indiana,Logansport,18019
Indiana,New Castle,17653
Indiana,Huntington,17166
Indiana,Griffith,16516
Indiana,Dyer,16169
Indiana,Frankfort,16153
Indiana,St. John,16117
Indiana,Crawfordsville,15988
Indiana,Avon,15971
Indiana,Lebanon,15836
Indiana,New Haven,15608
Indiana,Jasper,15325
Indiana,Beech Grove,14514
Indiana,Warsaw,14280
Indiana,Chesterton,13403
Indiana,Bedford,13355
Indiana,Connersville,13032
Indiana,Auburn,12834
Indiana,Purdue University,12183
Indiana,Lake Station,12175
Indiana,Speedway,12101
Indiana,Madison,12035
Indiana,Washington,12020
Indiana,Cedar Lake,11854
Indiana,Greensburg,11817
Indiana,Martinsville,11744
Indiana,Yorktown,11220
Indiana,Peru,11079
Indiana,Wabash,10433
Indiana,Greencastle,10362
Indiana,Plymouth,10095
Indiana,Bluffton,9969
Indiana,Kendallville,9905
Indiana,Danville,9593
Indiana,Mooresville,9576
Indiana,Decatur,9432
Indiana,Lowell,9402
Indiana,Columbia City,8829
Indiana,Angola,8624
Indiana,Princeton,8608
Indiana,Elwood,8480
Indiana,Brazil,8114
Indiana,Sellersburg,8066
Indiana,Charlestown,8054
Indiana,Tell City,7257
Indiana,Lakes of the Four Seasons,7033
Indiana,Nappanee,6715
Indiana,Scottsburg,6662
Indiana,North Vernon,6636
Indiana,Bargersville,6627
Indiana,Mount Vernon,6573
Indiana,Batesville,6541
Indiana,Ellettsville,6475
Indiana,Garrett,6319
Indiana,Salem,6236
Indiana,Dunlap,6235
Indiana,Portland,6204
Indiana,Boonville,6164
Indiana,Rushville,6158
Indiana,Rochester,6119
Indiana,Huntingburg,6042
Indiana,Hartford City,6042
Indiana,Gas City,6032
Iowa,Des Moines,209220
Iowa,Cedar Rapids,129195
Iowa,Davenport,102448
Iowa,Sioux City,82517
Iowa,Iowa City,73415
Iowa,Waterloo,68364
Iowa,West Des Moines,63325
Iowa,Ames,63266
Iowa,Council Bluffs,62245
Iowa,Dubuque,58436
Iowa,Ankeny,53801
Iowa,Urbandale,43150
Iowa,Cedar Falls,40859
Iowa,Marion,36774
Iowa,Bettendorf,35122
Iowa,Marshalltown,27727
Iowa,Mason City,27458
Iowa,Clinton,26246
Iowa,Burlington,25539
Iowa,Ottumwa,24682
Iowa,Fort Dodge,24594
Iowa,Muscatine,23888
Iowa,Johnston,20359
Iowa,Coralville,20349
Iowa,Waukee,17705
Iowa,Clive,17052
Iowa,Altoona,16105
Iowa,North Liberty,15386
Iowa,Indianola,15305
Iowa,Newton,15150
Iowa,Boone,12633
Iowa,Oskaloosa,11541
Iowa,Spencer,11206
Iowa,Storm Lake,10895
Iowa,Fort Madison,10764
Iowa,Keokuk,10692
Iowa,Pella,10337
Iowa,Waverly,10106
Iowa,Carroll,10007
Iowa,Norwalk,9859
Iowa,Grimes,9786
Iowa,Le Mars,9764
Iowa,Fairfield,9750
Iowa,Pleasant Hill,9159
Iowa,Grinnell,9069
Iowa,Mount Pleasant,8647
Iowa,Denison,8390
Iowa,Perry,8151
Iowa,Decorah,7957
Iowa,Creston,7839
Iowa,Webster City,7788
Iowa,Clear Lake,7682
Iowa,Charles City,7513
Iowa,Sioux Center,7389
Iowa,Washington,7349
Iowa,Knoxville,7244
Iowa,Hiawatha,7157
Iowa,Atlantic,6842
Iowa,Nevada,6779
Iowa,Oelwein,6181
Iowa,Eldridge,6162
Iowa,Orange City,6151
Iowa,Estherville,6121
Iowa,Maquoketa,6012
Kansas,Wichita,388413
Kansas,Overland Park,184525
Kansas,Kansas City,149636
Kansas,Olathe,133062
Kansas,Topeka,127215
Kansas,Lawrence,92763
Kansas,Shawnee,64599
Kansas,Manhattan,56078
Kansas,Lenexa,51042
Kansas,Salina,47867
Kansas,Hutchinson,41642
Kansas,Leavenworth,36000
Kansas,Leawood,34395
Kansas,Dodge City,28117
Kansas,Garden City,27004
Kansas,Junction City,24665
Kansas,Emporia,24560
Kansas,Derby,23234
Kansas,Prairie Village,21877
Kansas,Hays,21044
Kansas,Liberal,21012
Kansas,Gardner,20667
Kansas,Pittsburg,20394
Kansas,Newton,19120
Kansas,Great Bend,15840
Kansas,McPherson,13189
Kansas,El Dorado,12879
Kansas,Andover,12509
Kansas,Ottawa,12403
Kansas,Winfield,12258
Kansas,Arkansas City,12205
Kansas,Lansing,11713
Kansas,Merriam,11290
Kansas,Haysville,11112
Kansas,Atchison,10771
Kansas,Parsons,10174
Kansas,Coffeyville,9876
Kansas,Mission,9501
Kansas,Chanute,9295
Kansas,Augusta,9242
Kansas,Independence,9162
Kansas,Fort Riley North,8927
Kansas,Wellington,7942
Kansas,Fort Scott,7874
Kansas,Fort Riley,7761
Kansas,Park City,7556
Kansas,Bonner Springs,7553
Kansas,Bel Aire,7284
Kansas,Valley Center,7057
Kansas,Pratt,6963
Kansas,Roeland Park,6840
Kansas,Abilene,6590
Kansas,Eudora,6303
Kansas,Mulvane,6289
Kansas,Ulysses,6160
Kansas,De Soto,6038
Kentucky,Lexington-Fayette,310797
Kentucky,Fayette,286518
Kentucky,Louisville,262764
Kentucky,Bowling Green,62479
Kentucky,Owensboro,58374
Kentucky,Covington,40944
Kentucky,Richmond,33556
Kentucky,Hopkinsville,32634
Kentucky,Florence,31888
Kentucky,Georgetown,31653
Kentucky,Elizabethtown,29974
Kentucky,Nicholasville,29097
Kentucky,Henderson,28900
Kentucky,Frankfort,27557
Kentucky,Jeffersontown,26949
Kentucky,Pleasure Ridge Park,26433
Kentucky,Independence,26378
